Zeit(ms),Spannung(V)
1,4.97
1,4.96
2,4.95
2,4.94
3,4.94
3,4.92
4,4.92
5,4.92
5,4.91
8,4.88
16,4.79
25,4.69
35,4.59
44,4.50
54,4.40
63,4.31
73,4.25
82,4.14
91,4.06
100,3.97
110,3.88
122,3.79
132,3.71
142,3.63
152,3.54
163,3.48
173,3.39
184,3.31
194,3.24
205,3.17
215,3.10
225,3.03
235,2.96
247,2.90
257,2.83
267,2.76
277,2.70
288,2.64
298,2.59
308,2.53
319,2.47
330,2.42
340,2.36
350,2.31
360,2.25
371,2.21
382,2.16
392,2.11
402,2.06
413,2.02
423,1.97
433,1.93
443,1.89
454,1.85
465,1.80
475,1.76
485,1.73
495,1.69
506,1.66
517,1.61
527,1.58
537,1.54
548,1.51
558,1.48
568,1.45
579,1.42
590,1.39
600,1.35
610,1.32
620,1.30
631,1.27
641,1.24
652,1.22
662,1.19
673,1.16
683,1.13
693,1.11
703,1.09
715,1.06
725,1.04
735,1.02
745,0.99
756,0.97
766,0.95
776,0.93
787,0.91
798,0.89
808,0.87
818,0.85
828,0.83
838,0.82
850,0.80
860,0.78
870,0.77
880,0.75
891,0.73
901,0.71
912,0.70
922,0.68
933,0.67
943,0.65
953,0.64
963,0.63
974,0.62
985,0.60
995,0.59
1005,0.58
1017,0.56
1028,0.55
1039,0.54
1051,0.52
1063,0.51
1074,0.49
1085,0.48
1097,0.47
1108,0.46
1120,0.45
1131,0.44
1143,0.43
1154,0.42
1165,0.41
1177,0.40
1189,0.39
1200,0.38
1211,0.38
1222,0.36
1234,0.36
1246,0.35
1257,0.34
1269,0.33
1280,0.33
1291,0.32
1302,0.31
1315,0.30
1326,0.30
1337,0.29
1348,0.28
1360,0.27
1371,0.27
1383,0.26
1395,0.26
1406,0.25
1417,0.24
1428,0.24
1440,0.23
1452,0.22
1463,0.22
1474,0.22
1486,0.21
1497,0.21
1508,0.21
1520,0.20
1532,0.19
1543,0.19
1554,0.19
1566,0.18
1578,0.18
1589,0.17
1600,0.17
1612,0.16
1623,0.16
1634,0.16
1646,0.15
1658,0.15
1669,0.15
1680,0.14
1691,0.14
1703,0.14
1715,0.13
1726,0.13
1738,0.12
1749,0.12
1760,0.12
1771,0.12
1784,0.11
1795,0.11
1806,0.11
1817,0.11
1829,0.10
1840,0.10
1852,0.10
1864,0.10
1875,0.10
1886,0.09
1897,0.09
1910,0.09
1921,0.08
1932,0.08
1943,0.08
1955,0.08
1966,0.08
1978,0.07
1989,0.08
2001,0.07
2012,0.07
2023,0.07
2035,0.06
2047,0.06
2058,0.06
2069,0.06
2081,0.06
2092,0.06
2103,0.06
2115,0.05
2127,0.06
2138,0.05
2149,0.05
2160,0.05
2172,0.05
2184,0.05
2195,0.05
2207,0.04
2218,0.04
2229,0.04
2240,0.04
2253,0.04
2264,0.04
2275,0.04
2286,0.04
2298,0.03
2310,0.04
2321,0.03
2333,0.04
2344,0.03
2355,0.03
2366,0.03
2379,0.03
2390,0.03
2401,0.03
2412,0.03
2424,0.03
2435,0.03
2447,0.03
2458,0.03
2470,0.03
2481,0.02
2492,0.02
2504,0.02
2516,0.02
2527,0.02
2538,0.02
2550,0.02
2561,0.02
2572,0.02
2584,0.02
2596,0.02
2607,0.02
2618,0.02
2629,0.02
2642,0.02
2653,0.01
2664,0.02
2676,0.01
2687,0.01
2698,0.01
2710,0.01
2722,0.01
2733,0.02
2744,0.01
2755,0.01
2767,0.01
2779,0.01
2790,0.01
2801,0.01
2813,0.01
2824,0.01
2835,0.01
2848,0.01
2859,0.01
2870,0.00
2881,0.01
2893,0.00
2904,0.01
2916,0.00
2927,0.01
2939,0.01
2950,0.01
2961,0.00
2973,0.01
2985,0.00
2996,0.00
3007,0.00
3019,0.01
3030,0.00
3042,0.00
3053,0.00
3065,0.00
3076,0.00
3087,0.00
