Zeit(ms), Spannung(V)
0, 0.28
0, 0.29
1, 0.29
2, 0.29
2, 0.30
3, 0.30
12, 0.34
22, 0.40
32, 0.44
43, 0.49
53, 0.53
64, 0.58
74, 0.63
84, 0.67
95, 0.72
105, 0.76
116, 0.81
129, 0.86
140, 0.90
151, 0.95
162, 1.00
174, 1.04
185, 1.09
197, 1.13
208, 1.18
220, 1.22
231, 1.26
242, 1.30
253, 1.34
266, 1.39
277, 1.43
288, 1.47
300, 1.51
311, 1.54
323, 1.58
334, 1.62
346, 1.66
357, 1.70
368, 1.73
379, 1.77
392, 1.81
403, 1.84
414, 1.88
425, 1.91
437, 1.95
448, 1.98
460, 2.02
472, 2.05
483, 2.08
494, 2.11
505, 2.15
517, 2.17
529, 2.21
540, 2.24
551, 2.27
563, 2.30
574, 2.33
585, 2.36
598, 2.39
609, 2.42
620, 2.45
631, 2.47
643, 2.50
655, 2.53
666, 2.56
677, 2.59
689, 2.61
700, 2.64
711, 2.66
723, 2.69
735, 2.72
746, 2.74
757, 2.77
769, 2.79
780, 2.82
792, 2.84
803, 2.86
815, 2.88
826, 2.91
837, 2.93
848, 2.96
861, 2.98
872, 3.00
883, 3.03
894, 3.04
906, 3.07
917, 3.09
929, 3.11
941, 3.13
952, 3.16
963, 3.17
974, 3.19
986, 3.22
998, 3.23
1009, 3.25
1021, 3.26
1034, 3.29
1046, 3.31
1059, 3.33
1072, 3.35
1084, 3.37
1096, 3.39
1108, 3.41
1122, 3.43
1134, 3.45
1146, 3.47
1159, 3.48
1171, 3.50
1183, 3.52
1197, 3.53
1209, 3.55
1221, 3.57
1233, 3.58
1246, 3.61
1259, 3.62
1271, 3.64
1284, 3.66
1296, 3.67
1308, 3.69
1321, 3.70
1334, 3.71
1346, 3.73
1358, 3.74
1371, 3.76
1383, 3.78
1396, 3.79
1409, 3.80
1421, 3.82
1433, 3.83
1445, 3.85
1459, 3.86
1471, 3.87
1483, 3.89
1496, 3.90
1508, 3.91
1521, 3.92
1533, 3.93
1546, 3.95
1558, 3.96
1570, 3.97
1583, 3.98
1596, 4.00
1608, 4.01
1620, 4.02
1633, 4.03
1645, 4.05
1658, 4.06
1671, 4.06
1683, 4.08
1695, 4.08
1708, 4.09
1721, 4.11
1733, 4.12
1745, 4.13
1758, 4.13
1770, 4.14
1782, 4.16
1796, 4.16
1808, 4.17
1820, 4.19
1832, 4.20
1845, 4.22
1858, 4.21
1870, 4.22
1883, 4.23
1895, 4.24
1907, 4.26
1921, 4.26
1933, 4.27
1945, 4.29
1957, 4.29
1970, 4.29
1982, 4.30
1995, 4.31
2008, 4.33
2020, 4.33
2032, 4.33
2044, 4.35
2058, 4.35
2070, 4.35
2082, 4.36
2095, 4.37
2107, 4.38
2120, 4.38
2132, 4.39
2145, 4.40
2157, 4.41
2169, 4.41
2182, 4.42
2195, 4.43
2207, 4.43
2220, 4.43
2232, 4.44
2244, 4.45
2257, 4.46
2270, 4.46
2282, 4.47
2294, 4.48
2307, 4.49
2320, 4.49
2332, 4.49
2344, 4.51
2357, 4.51
2369, 4.51
2381, 4.52
2395, 4.52
2407, 4.55
2419, 4.54
2432, 4.54
2444, 4.54
2457, 4.55
2469, 4.55
2482, 4.56
2494, 4.57
2506, 4.58
