Zeit(ms), Spannung(V)
0, 4.98
0, 4.97
1, 4.98
1, 4.96
2, 4.96
3, 4.95
3, 4.95
4, 4.95
7, 4.94
17, 4.89
27, 4.84
38, 4.79
48, 4.74
58, 4.70
69, 4.64
79, 4.59
89, 4.54
99, 4.50
111, 4.46
122, 4.40
133, 4.35
145, 4.30
156, 4.26
168, 4.21
179, 4.16
191, 4.13
202, 4.07
213, 4.02
224, 3.99
237, 3.93
248, 3.89
259, 3.85
270, 3.81
282, 3.77
293, 3.72
305, 3.68
317, 3.63
328, 3.60
339, 3.55
350, 3.51
362, 3.48
374, 3.44
385, 3.40
396, 3.36
408, 3.32
419, 3.29
430, 3.25
442, 3.22
454, 3.18
465, 3.14
476, 3.11
488, 3.07
499, 3.04
511, 3.01
522, 2.97
534, 2.94
545, 2.90
556, 2.87
568, 2.84
580, 2.81
591, 2.78
602, 2.75
613, 2.72
625, 2.68
637, 2.65
648, 2.62
660, 2.60
671, 2.57
682, 2.54
693, 2.51
706, 2.48
717, 2.46
728, 2.43
739, 2.40
751, 2.38
762, 2.35
774, 2.32
786, 2.30
797, 2.27
808, 2.25
819, 2.22
831, 2.19
843, 2.17
854, 2.15
865, 2.12
877, 2.10
888, 2.08
900, 2.06
911, 2.03
923, 2.01
934, 1.98
945, 1.96
957, 1.95
969, 1.92
980, 1.90
991, 1.88
1003, 1.86
1015, 1.83
1027, 1.81
1041, 1.79
1053, 1.77
1065, 1.75
1077, 1.73
1090, 1.71
1103, 1.69
1115, 1.67
1128, 1.65
1140, 1.63
1152, 1.61
1164, 1.59
1178, 1.57
1190, 1.55
1202, 1.53
1215, 1.51
1227, 1.50
1240, 1.48
1252, 1.46
1265, 1.44
1277, 1.42
1289, 1.41
1303, 1.39
1315, 1.37
1327, 1.36
1340, 1.34
1352, 1.32
1364, 1.30
1377, 1.30
1390, 1.28
1402, 1.26
1414, 1.25
1427, 1.23
1440, 1.22
1452, 1.20
1464, 1.18
1477, 1.17
1489, 1.16
1502, 1.14
1515, 1.13
1527, 1.11
1539, 1.10
1551, 1.09
1564, 1.08
1577, 1.06
1589, 1.05
1602, 1.04
1614, 1.03
1626, 1.01
1640, 1.00
1652, 0.99
1664, 0.97
1676, 0.96
1689, 0.95
1702, 0.94
1714, 0.93
1727, 0.92
1739, 0.91
1751, 0.89
1763, 0.88
1777, 0.87
1789, 0.87
1801, 0.86
1814, 0.84
1826, 0.84
1839, 0.83
1852, 0.81
1864, 0.81
1876, 0.79
1888, 0.79
1902, 0.77
1914, 0.77
1926, 0.76
1939, 0.75
1951, 0.74
1963, 0.73
1976, 0.72
1989, 0.71
2001, 0.70
2013, 0.69
2026, 0.69
2039, 0.68
2051, 0.67
2063, 0.66
2076, 0.65
2088, 0.65
2101, 0.64
2114, 0.63
2126, 0.63
2138, 0.62
2151, 0.61
2163, 0.60
2176, 0.59
2188, 0.59
2201, 0.58
2213, 0.57
2225, 0.57
2239, 0.56
2251, 0.55
2263, 0.55
2275, 0.54
2288, 0.53
2301, 0.53
2313, 0.52
2326, 0.51
2338, 0.51
2350, 0.50
2362, 0.49
2376, 0.49
2388, 0.48
2400, 0.48
2413, 0.47
2425, 0.47
2438, 0.46
2451, 0.45
2463, 0.45
2475, 0.44
2487, 0.44
2501, 0.43
2513, 0.43
2525, 0.43
2538, 0.42
2550, 0.42
2562, 0.41
2575, 0.40
2588, 0.40
2600, 0.40
2612, 0.39
2625, 0.39
2638, 0.39
2650, 0.38
2663, 0.37
2675, 0.37
2687, 0.36
2700, 0.36
2713, 0.36
2725, 0.35
2737, 0.35
2750, 0.34
2762, 0.34
2775, 0.33
2787, 0.33
2800, 0.33
2812, 0.32
